,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
0,1367,,cifar,0.012,N13,CIFAR_P28_N13,sat,6.4078,1367.0,verinet,CIFAR_P28_N13 N13 0.012,True,1,1
4,12524,,cifar,0.012,N18,CIFAR_P69_N18,sat,2126.9127,4124.0,babsb,CIFAR_P69_N18 N18 0.012,True,1,1
6,12527,,cifar,0.012,N17,CIFAR_P72_N17,sat,492.0146,4127.0,babsb,CIFAR_P72_N17 N17 0.012,True,1,1
21,12509,,cifar,0.012,N13,CIFAR_P11_N13,sat,1361.5476,4109.0,babsb,CIFAR_P11_N13 N13 0.012,True,1,1
25,12482,,cifar,0.012,N34,CIFAR_P27_N34,sat,2200.1023,4082.0,babsb,CIFAR_P27_N34 N34 0.012,True,1,1
26,12483,,cifar,0.012,N17,CIFAR_P38_N17,sat,602.2203,4083.0,babsb,CIFAR_P38_N17 N17 0.012,True,1,1
56,16806,,cifar,0.012,N15,CIFAR_P75_N15,unsat,221.0532,6.0,nnenum,CIFAR_P75_N15 N15 0.012,True,1,1
88,12470,,cifar,0.012,N18,CIFAR_P30_N18,sat,2181.757,4070.0,babsb,CIFAR_P30_N18 N18 0.012,True,1,1
89,12359,,cifar,0.012,N13,CIFAR_P69_N13,sat,1492.2989,3959.0,babsb,CIFAR_P69_N13 N13 0.012,True,1,1
93,12365,,cifar,0.012,N13,CIFAR_P78_N13,sat,1448.9924,3965.0,babsb,CIFAR_P78_N13 N13 0.012,True,1,1
94,12366,,cifar,0.012,N17,CIFAR_P31_N17,sat,548.4306,3966.0,babsb,CIFAR_P31_N17 N17 0.012,True,1,1
106,12318,,cifar,0.012,N34,CIFAR_P81_N34,sat,2147.1168,3918.0,babsb,CIFAR_P81_N34 N34 0.012,True,1,1
109,12321,,cifar,0.012,N42,CIFAR_P48_N42,sat,557.1996,3921.0,babsb,CIFAR_P48_N42 N42 0.012,True,1,1
114,12336,,cifar,0.012,N32,CIFAR_P78_N32,sat,1475.4261,3936.0,babsb,CIFAR_P78_N32 N32 0.012,True,1,1
127,12443,,cifar,0.012,N42,CIFAR_P15_N42,sat,560.5461,4043.0,babsb,CIFAR_P15_N42 N42 0.012,True,1,1
132,12461,,cifar,0.012,N13,CIFAR_P28_N13,sat,1630.308,4061.0,babsb,CIFAR_P28_N13 N13 0.012,True,1,1
144,12390,,cifar,0.012,N18,CIFAR_P20_N18,sat,2322.414,3990.0,babsb,CIFAR_P20_N18 N18 0.012,True,1,1
174,17064,,cifar,0.012,N34,CIFAR_P35_N34,unsat,189.0566,264.0,nnenum,CIFAR_P35_N34 N34 0.012,True,1,1
233,16996,,cifar,0.012,N5,CIFAR_P25_N5,unsat,584.0527,196.0,nnenum,CIFAR_P25_N5 N5 0.012,True,1,1
256,16816,,cifar,0.012,N17,CIFAR_P86_N17,unsat,121.999,16.0,nnenum,CIFAR_P86_N17 N17 0.012,True,1,1
258,16820,,cifar,0.012,N2,CIFAR_P25_N2,unsat,213.1412,20.0,nnenum,CIFAR_P25_N2 N2 0.012,True,1,1
265,16830,,cifar,0.012,N18,CIFAR_P25_N18,unsat,144.2189,30.0,nnenum,CIFAR_P25_N18 N18 0.012,True,1,1
301,16925,,cifar,0.012,N5,CIFAR_P86_N5,unsat,527.7525,125.0,nnenum,CIFAR_P86_N5 N5 0.012,True,1,1
319,11759,,cifar,0.012,N13,CIFAR_P20_N13,sat,1608.719,3359.0,babsb,CIFAR_P20_N13 N13 0.012,True,1,1
324,11769,,cifar,0.012,N42,CIFAR_P47_N42,sat,558.4634,3369.0,babsb,CIFAR_P47_N42 N42 0.012,True,1,1
327,11772,,cifar,0.012,N13,CIFAR_P6_N13,sat,1567.3282,3372.0,babsb,CIFAR_P6_N13 N13 0.012,True,1,1
330,11724,,cifar,0.012,N32,CIFAR_P15_N32,sat,1551.9399,3324.0,babsb,CIFAR_P15_N32 N32 0.012,True,1,1
333,11692,,cifar,0.012,N32,CIFAR_P54_N32,sat,1517.9689,3292.0,babsb,CIFAR_P54_N32 N32 0.012,True,1,1
337,11697,,cifar,0.012,N17,CIFAR_P79_N17,sat,580.4102,3297.0,babsb,CIFAR_P79_N17 N17 0.012,True,1,1
340,11706,,cifar,0.012,N32,CIFAR_P74_N32,sat,1498.2657,3306.0,babsb,CIFAR_P74_N32 N32 0.012,True,1,1
350,11846,,cifar,0.012,N32,CIFAR_P83_N32,sat,1523.5144,3446.0,babsb,CIFAR_P83_N32 N32 0.012,True,1,1
351,11830,,cifar,0.012,N18,CIFAR_P82_N18,sat,2138.93,3430.0,babsb,CIFAR_P82_N18 N18 0.012,True,1,1
353,11832,,cifar,0.012,N18,CIFAR_P60_N18,sat,1930.4002,3432.0,babsb,CIFAR_P60_N18 N18 0.012,True,1,1
362,11862,,cifar,0.012,N42,CIFAR_P9_N42,sat,568.8734,3462.0,babsb,CIFAR_P9_N42 N42 0.012,True,1,1
365,11866,,cifar,0.012,N18,CIFAR_P57_N18,sat,2427.283,3466.0,babsb,CIFAR_P57_N18 N18 0.012,True,1,1
369,11822,,cifar,0.012,N13,CIFAR_P87_N13,sat,1585.6906,3422.0,babsb,CIFAR_P87_N13 N13 0.012,True,1,1
370,11815,,cifar,0.012,N18,CIFAR_P72_N18,sat,2099.5312,3415.0,babsb,CIFAR_P72_N18 N18 0.012,True,1,1
372,11784,,cifar,0.012,N17,CIFAR_P83_N17,sat,545.971,3384.0,babsb,CIFAR_P83_N17 N17 0.012,True,1,1
373,11786,,cifar,0.012,N13,CIFAR_P63_N13,sat,1523.8173,3386.0,babsb,CIFAR_P63_N13 N13 0.012,True,1,1
375,11789,,cifar,0.012,N17,CIFAR_P60_N17,sat,562.0806,3389.0,babsb,CIFAR_P60_N17 N17 0.012,True,1,1
388,11676,,cifar,0.012,N42,CIFAR_P82_N42,sat,562.7022,3276.0,babsb,CIFAR_P82_N42 N42 0.012,True,1,1
390,11535,,cifar,0.012,N32,CIFAR_P2_N32,sat,1585.0418,3135.0,babsb,CIFAR_P2_N32 N32 0.012,True,1,1
395,11545,,cifar,0.012,N13,CIFAR_P79_N13,sat,1639.1637,3145.0,babsb,CIFAR_P79_N13 N13 0.012,True,1,1
396,11547,,cifar,0.012,N18,CIFAR_P89_N18,sat,2170.1456,3147.0,babsb,CIFAR_P89_N18 N18 0.012,True,1,1
405,11561,,cifar,0.012,N18,CIFAR_P92_N18,sat,2256.7185,3161.0,babsb,CIFAR_P92_N18 N18 0.012,True,1,1
408,11521,,cifar,0.012,N13,CIFAR_P61_N13,sat,1504.6029,3121.0,babsb,CIFAR_P61_N13 N13 0.012,True,1,1
410,11482,,cifar,0.012,N42,CIFAR_P55_N42,sat,541.8156,3082.0,babsb,CIFAR_P55_N42 N42 0.012,True,1,1
422,11509,,cifar,0.012,N34,CIFAR_P98_N34,sat,2238.1196,3109.0,babsb,CIFAR_P98_N34 N34 0.012,True,1,1
423,11514,,cifar,0.012,N18,CIFAR_P50_N18,sat,2559.2744,3114.0,babsb,CIFAR_P50_N18 N18 0.012,True,1,1
434,11640,,cifar,0.012,N32,CIFAR_P27_N32,sat,1545.6361,3240.0,babsb,CIFAR_P27_N32 N32 0.012,True,1,1
448,11578,,cifar,0.012,N18,CIFAR_P42_N18,sat,2441.6672,3178.0,babsb,CIFAR_P42_N18 N18 0.012,True,1,1
452,11595,,cifar,0.012,N32,CIFAR_P9_N32,sat,1536.5385,3195.0,babsb,CIFAR_P9_N32 N32 0.012,True,1,1
454,11602,,cifar,0.012,N13,CIFAR_P12_N13,sat,1567.0293,3202.0,babsb,CIFAR_P12_N13 N13 0.012,True,1,1
456,11605,,cifar,0.012,N42,CIFAR_P37_N42,sat,599.1759,3205.0,babsb,CIFAR_P37_N42 N42 0.012,True,1,1
463,11874,,cifar,0.012,N32,CIFAR_P17_N32,sat,1513.1518,3474.0,babsb,CIFAR_P17_N32 N32 0.012,True,1,1
465,12295,,cifar,0.012,N13,CIFAR_P38_N13,sat,1567.1134,3895.0,babsb,CIFAR_P38_N13 N13 0.012,True,1,1
471,12145,,cifar,0.012,N42,CIFAR_P6_N42,sat,584.6552,3745.0,babsb,CIFAR_P6_N42 N42 0.012,True,1,1
473,12147,,cifar,0.012,N13,CIFAR_P0_N13,sat,1493.7997,3747.0,babsb,CIFAR_P0_N13 N13 0.012,True,1,1
480,12165,,cifar,0.012,N34,CIFAR_P74_N34,sat,2389.6598,3765.0,babsb,CIFAR_P74_N34 N34 0.012,True,1,1
483,12138,,cifar,0.012,N17,CIFAR_P6_N17,sat,553.7102,3738.0,babsb,CIFAR_P6_N17 N17 0.012,True,1,1
490,12104,,cifar,0.012,N34,CIFAR_P8_N34,sat,2093.6446,3704.0,babsb,CIFAR_P8_N34 N34 0.012,True,1,1
493,12108,,cifar,0.012,N34,CIFAR_P9_N34,sat,2250.316,3708.0,babsb,CIFAR_P9_N34 N34 0.012,True,1,1
