,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
0,7203,,CIFAR,0.012,54.0,cifar10_2_255.onnx,unsat,48.05407452583313,1476.0,54.0,bab,54.0 cifar10_2_255.onnx 0.012,1,1,True
1,6373,,CIFAR,0.012,49.0,cifar_base_kw.onnx,sat,1.2251384258270264,1360.0,49.0,bab,49.0 cifar_base_kw.onnx 0.012,1,1,True
2,11631,,,0.012,81.0,convSmallRELU__Point.onnx,unsat,1.466,3181.0,,eran,81.0 convSmallRELU__Point.onnx 0.012,1,1,True
3,6340,,CIFAR,0.012,49.0,cifar10_2_255.onnx,sat,47.02367949485779,1322.0,49.0,bab,49.0 cifar10_2_255.onnx 0.012,1,1,True
4,6341,,,0.012,49.0,cifar10_2_255.onnx,unsat,44.633,2849.0,,eran,49.0 cifar10_2_255.onnx 0.012,1,1,True
5,11627,,CIFAR,0.012,81.0,convSmallRELU__PGDK.onnx,sat,2.4876811504364014,2190.0,81.0,bab,81.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
6,6343,,CIFAR,0.012,49.0,cifar10_2_255_simplified.onnx,sat,46.46911144256592,1328.0,49.0,bab,49.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
7,6344,,,0.012,49.0,cifar10_2_255_simplified.onnx,unsat,44.824,1449.0,,eran,49.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
8,6346,,,0.012,49.0,cifar10_8_255.onnx,unsat,14.779,2449.0,,eran,49.0 cifar10_8_255.onnx 0.012,1,1,True
9,6347,,CIFAR,0.012,49.0,cifar10_8_255.onnx,sat,10.988777160644531,1331.0,49.0,bab,49.0 cifar10_8_255.onnx 0.012,1,1,True
10,6348,,,0.012,49.0,cifar10_8_255_simplified.onnx,unsat,14.65,249.0,,eran,49.0 cifar10_8_255_simplified.onnx 0.012,1,1,True
11,11625,,,0.012,81.0,convSmallRELU__PGDK.onnx,sat,46.421,1581.0,,eran,81.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
12,6350,,CIFAR,0.012,49.0,cifar10_8_255_simplified.onnx,sat,10.533621549606323,1352.0,49.0,bab,49.0 cifar10_8_255_simplified.onnx 0.012,1,1,True
13,6372,,,0.012,49.0,cifar_base_kw.onnx,sat,7.744,3449.0,,eran,49.0 cifar_base_kw.onnx 0.012,1,1,True
14,11624,,,0.012,81.0,convSmallRELU__DiffAI.onnx,unsat,1.06,3081.0,,eran,81.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
15,6408,,,0.012,49.0,convBigRELU__PGD.onnx,unsat,34.017,849.0,,eran,49.0 convBigRELU__PGD.onnx 0.012,1,1,True
16,6378,,,0.012,49.0,cifar_base_kw_simp.onnx,sat,7.704,2949.0,,eran,49.0 cifar_base_kw_simp.onnx 0.012,1,1,True
17,6379,,CIFAR,0.012,49.0,cifar_base_kw_simp.onnx,sat,1.1673099994659424,1361.0,49.0,bab,49.0 cifar_base_kw_simp.onnx 0.012,1,1,True
18,11623,,CIFAR,0.012,81.0,convSmallRELU__DiffAI.onnx,unsat,1.4297165870666504,2179.0,81.0,bab,81.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
19,6384,,,0.012,49.0,cifar_deep_kw.onnx,unsat,1.294,1049.0,,eran,49.0 cifar_deep_kw.onnx 0.012,1,1,True
20,6385,,CIFAR,0.012,49.0,cifar_deep_kw.onnx,sat,4.147407293319701,1312.0,49.0,bab,49.0 cifar_deep_kw.onnx 0.012,1,1,True
21,11603,,,0.012,81.0,convMedGRELU__Point.onnx,unsat,3.799,681.0,,eran,81.0 convMedGRELU__Point.onnx 0.012,1,1,True
22,6391,,,0.012,49.0,cifar_deep_kw_simp.onnx,unsat,1.31,1949.0,,eran,49.0 cifar_deep_kw_simp.onnx 0.012,1,1,True
23,6392,,CIFAR,0.012,49.0,cifar_deep_kw_simp.onnx,sat,4.104172229766847,1313.0,49.0,bab,49.0 cifar_deep_kw_simp.onnx 0.012,1,1,True
24,6396,,,0.012,49.0,cifar_wide_kw.onnx,sat,14.896,1749.0,,eran,49.0 cifar_wide_kw.onnx 0.012,1,1,True
25,6398,,CIFAR,0.012,49.0,cifar_wide_kw.onnx,sat,2.415545463562012,1323.0,49.0,bab,49.0 cifar_wide_kw.onnx 0.012,1,1,True
26,11601,,CIFAR,0.012,81.0,convMedGRELU__Point.onnx,sat,4.1025004386901855,2273.0,81.0,bab,81.0 convMedGRELU__Point.onnx 0.012,1,1,True
27,6403,,CIFAR,0.012,49.0,cifar_wide_kw_simp.onnx,sat,2.2395615577697754,1329.0,49.0,bab,49.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
28,11632,,CIFAR,0.012,81.0,convSmallRELU__Point.onnx,sat,2.556417226791382,2196.0,81.0,bab,81.0 convSmallRELU__Point.onnx 0.012,1,1,True
29,6313,,CIFAR,0.012,48.0,ffnnRELU__Point_6_500.onnx,sat,3.5800871849060063,1326.0,48.0,bab,48.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
30,6310,,CIFAR,0.012,48.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,sat,3.035865306854248,1301.0,48.0,bab,48.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
31,6309,,,0.012,48.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,7.431,2048.0,,eran,48.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
32,11673,,CIFAR,0.012,82.0,cifar10_8_255.onnx,sat,11.170546770095823,2406.0,82.0,bab,82.0 cifar10_8_255.onnx 0.012,1,1,True
33,6247,,CIFAR,0.012,48.0,cifar_deep_kw_simp.onnx,sat,5.386473655700684,1284.0,48.0,bab,48.0 cifar_deep_kw_simp.onnx 0.012,1,1,True
34,6248,,,0.012,48.0,cifar_deep_kw_simp.onnx,unsat,1.292,1948.0,,eran,48.0 cifar_deep_kw_simp.onnx 0.012,1,1,True
35,6253,,CIFAR,0.012,48.0,cifar_wide_kw.onnx,sat,2.477392196655273,1297.0,48.0,bab,48.0 cifar_wide_kw.onnx 0.012,1,1,True
36,6254,,,0.012,48.0,cifar_wide_kw.onnx,unsat,1.133,1748.0,,eran,48.0 cifar_wide_kw.onnx 0.012,1,1,True
37,6258,,CIFAR,0.012,48.0,cifar_wide_kw_simp.onnx,sat,2.300997018814087,1300.0,48.0,bab,48.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
