,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
598,5302,,mnist,0.012,N48,MNIST_P96_N48,unsat,61.2348,902.0,verinet,MNIST_P96_N48 N48 0.012,True,1,1
599,5318,,mnist,0.012,N5,MNIST_P29_N5,unsat,51.0423,918.0,verinet,MNIST_P29_N5 N5 0.012,True,1,1
600,5327,,mnist,0.012,N49,MNIST_P3_N49,unsat,58.153,927.0,verinet,MNIST_P3_N49 N49 0.012,True,1,1
601,5332,,mnist,0.012,N48,MNIST_P42_N48,unsat,59.0698,932.0,verinet,MNIST_P42_N48 N48 0.012,True,1,1
602,5335,,mnist,0.012,N15,MNIST_P52_N15,unsat,49.7581,935.0,verinet,MNIST_P52_N15 N15 0.012,True,1,1
603,5348,,mnist,0.012,N5,MNIST_P84_N5,unsat,50.3027,948.0,verinet,MNIST_P84_N5 N5 0.012,True,1,1
604,5349,,mnist,0.012,N5,MNIST_P87_N5,unsat,49.8123,949.0,verinet,MNIST_P87_N5 N5 0.012,True,1,1
605,5352,,mnist,0.012,N14,MNIST_P15_N14,unsat,61.0022,952.0,verinet,MNIST_P15_N14 N14 0.012,True,1,1
606,5362,,mnist,0.012,N48,MNIST_P52_N48,unsat,58.2374,962.0,verinet,MNIST_P52_N48 N48 0.012,True,1,1
607,5381,,mnist,0.012,N49,MNIST_P20_N49,unsat,58.2297,981.0,verinet,MNIST_P20_N49 N49 0.012,True,1,1
608,5390,,mnist,0.012,N48,MNIST_P10_N48,unsat,61.0398,990.0,verinet,MNIST_P10_N48 N48 0.012,True,1,1
609,5400,,mnist,0.012,N15,MNIST_P94_N15,sat,28.6414,1000.0,verinet,MNIST_P94_N15 N15 0.012,True,1,1
610,5404,,mnist,0.012,N5,MNIST_P15_N5,unsat,51.2998,1004.0,verinet,MNIST_P15_N5 N5 0.012,True,1,1
611,5405,,mnist,0.012,N49,MNIST_P1_N49,unsat,59.2317,1005.0,verinet,MNIST_P1_N49 N49 0.012,True,1,1
612,5407,,mnist,0.012,N18,MNIST_P45_N18,unsat,49.3116,1007.0,verinet,MNIST_P45_N18 N18 0.012,True,1,1
613,5429,,mnist,0.012,N14,MNIST_P30_N14,unsat,60.3122,1029.0,verinet,MNIST_P30_N14 N14 0.012,True,1,1
614,5312,,mnist,0.012,N14,MNIST_P97_N14,unsat,58.1952,912.0,verinet,MNIST_P97_N14 N14 0.012,True,1,1
615,5289,,mnist,0.012,N14,MNIST_P93_N14,unsat,58.9819,889.0,verinet,MNIST_P93_N14 N14 0.012,True,1,1
616,5180,,mnist,0.012,N5,MNIST_P6_N5,unsat,50.3642,780.0,verinet,MNIST_P6_N5 N5 0.012,True,1,1
617,5281,,mnist,0.012,N18,MNIST_P48_N18,unsat,49.7668,881.0,verinet,MNIST_P48_N18 N18 0.012,True,1,1
618,5194,,mnist,0.012,N14,MNIST_P91_N14,unsat,59.7256,794.0,verinet,MNIST_P91_N14 N14 0.012,True,1,1
619,5199,,mnist,0.012,N5,MNIST_P70_N5,unsat,49.6862,799.0,verinet,MNIST_P70_N5 N5 0.012,True,1,1
620,5204,,mnist,0.012,N48,MNIST_P16_N48,unsat,58.71,804.0,verinet,MNIST_P16_N48 N48 0.012,True,1,1
621,5205,,mnist,0.012,N48,MNIST_P70_N48,unsat,58.3983,805.0,verinet,MNIST_P70_N48 N48 0.012,True,1,1
622,5222,,mnist,0.012,N5,MNIST_P20_N5,unsat,50.2438,822.0,verinet,MNIST_P20_N5 N5 0.012,True,1,1
623,5227,,mnist,0.012,N15,MNIST_P99_N15,unsat,51.4168,827.0,verinet,MNIST_P99_N15 N15 0.012,True,1,1
624,5232,,mnist,0.012,N5,MNIST_P33_N5,sat,12.1443,832.0,verinet,MNIST_P33_N5 N5 0.012,True,1,1
625,5247,,mnist,0.012,N14,MNIST_P68_N14,unsat,58.0675,847.0,verinet,MNIST_P68_N14 N14 0.012,True,1,1
626,5259,,mnist,0.012,N15,MNIST_P40_N15,sat,35.1011,859.0,verinet,MNIST_P40_N15 N15 0.012,True,1,1
627,5268,,mnist,0.012,N18,MNIST_P75_N18,unsat,48.8742,868.0,verinet,MNIST_P75_N18 N18 0.012,True,1,1
628,5269,,mnist,0.012,N18,MNIST_P29_N18,unsat,49.0132,869.0,verinet,MNIST_P29_N18 N18 0.012,True,1,1
629,5271,,mnist,0.012,N49,MNIST_P74_N49,unsat,59.5054,871.0,verinet,MNIST_P74_N49 N49 0.012,True,1,1
630,5274,,mnist,0.012,N5,MNIST_P26_N5,unsat,49.0726,874.0,verinet,MNIST_P26_N5 N5 0.012,True,1,1
631,5277,,mnist,0.012,N48,MNIST_P73_N48,sat,20.0672,877.0,verinet,MNIST_P73_N48 N48 0.012,True,1,1
632,5278,,mnist,0.012,N18,MNIST_P68_N18,unsat,49.8009,878.0,verinet,MNIST_P68_N18 N18 0.012,True,1,1
633,5440,,mnist,0.012,N5,MNIST_P98_N5,unsat,49.6323,1040.0,verinet,MNIST_P98_N5 N5 0.012,True,1,1
634,5450,,mnist,0.012,N5,MNIST_P69_N5,unsat,49.0705,1050.0,verinet,MNIST_P69_N5 N5 0.012,True,1,1
635,5452,,mnist,0.012,N14,MNIST_P6_N14,unsat,59.8668,1052.0,verinet,MNIST_P6_N14 N14 0.012,True,1,1
636,5462,,mnist,0.012,N49,MNIST_P60_N49,unsat,59.5847,1062.0,verinet,MNIST_P60_N49 N49 0.012,True,1,1
637,5614,,mnist,0.012,N5,MNIST_P58_N5,unsat,50.5779,1214.0,verinet,MNIST_P58_N5 N5 0.012,True,1,1
638,5626,,mnist,0.012,N15,MNIST_P28_N15,unsat,52.7326,1226.0,verinet,MNIST_P28_N15 N15 0.012,True,1,1
639,5628,,mnist,0.012,N18,MNIST_P69_N18,unsat,52.5187,1228.0,verinet,MNIST_P69_N18 N18 0.012,True,1,1
640,5629,,mnist,0.012,N15,MNIST_P8_N15,sat,6.3379,1229.0,verinet,MNIST_P8_N15 N15 0.012,True,1,1
641,5637,,mnist,0.012,N48,MNIST_P25_N48,unsat,59.2745,1237.0,verinet,MNIST_P25_N48 N48 0.012,True,1,1
642,5646,,mnist,0.012,N48,MNIST_P58_N48,unsat,60.5473,1246.0,verinet,MNIST_P58_N48 N48 0.012,True,1,1
643,5652,,mnist,0.012,N5,MNIST_P43_N5,unsat,50.3866,1252.0,verinet,MNIST_P43_N5 N5 0.012,True,1,1
644,5653,,mnist,0.012,N15,MNIST_P11_N15,unsat,52.4111,1253.0,verinet,MNIST_P11_N15 N15 0.012,True,1,1
645,5657,,mnist,0.012,N48,MNIST_P36_N48,unsat,60.4577,1257.0,verinet,MNIST_P36_N48 N48 0.012,True,1,1
646,5658,,mnist,0.012,N18,MNIST_P42_N18,unsat,51.8235,1258.0,verinet,MNIST_P42_N18 N18 0.012,True,1,1
647,5661,,mnist,0.012,N15,MNIST_P75_N15,unsat,51.4861,1261.0,verinet,MNIST_P75_N15 N15 0.012,True,1,1
648,5676,,mnist,0.012,N18,MNIST_P46_N18,unsat,51.4822,1276.0,verinet,MNIST_P46_N18 N18 0.012,True,1,1
649,5701,,mnist,0.012,N15,MNIST_P79_N15,unsat,51.8357,1301.0,verinet,MNIST_P79_N15 N15 0.012,True,1,1
650,5710,,mnist,0.012,N48,MNIST_P79_N48,unsat,58.067,1310.0,verinet,MNIST_P79_N48 N48 0.012,True,1,1
651,5711,,mnist,0.012,N18,MNIST_P1_N18,unsat,49.2218,1311.0,verinet,MNIST_P1_N18 N18 0.012,True,1,1
652,5594,,mnist,0.012,N5,MNIST_P76_N5,unsat,50.1628,1194.0,verinet,MNIST_P76_N5 N5 0.012,True,1,1
653,5593,,mnist,0.012,N14,MNIST_P32_N14,unsat,61.4978,1193.0,verinet,MNIST_P32_N14 N14 0.012,True,1,1
654,5573,,mnist,0.012,N48,MNIST_P18_N48,unsat,58.2316,1173.0,verinet,MNIST_P18_N48 N48 0.012,True,1,1
655,5510,,mnist,0.012,N15,MNIST_P55_N15,unsat,51.8993,1110.0,verinet,MNIST_P55_N15 N15 0.012,True,1,1
656,5467,,mnist,0.012,N48,MNIST_P72_N48,unsat,58.5397,1067.0,verinet,MNIST_P72_N48 N48 0.012,True,1,1
657,5475,,mnist,0.012,N15,MNIST_P36_N15,sat,12.5083,1075.0,verinet,MNIST_P36_N15 N15 0.012,True,1,1
658,5476,,mnist,0.012,N14,MNIST_P25_N14,unsat,58.5513,1076.0,verinet,MNIST_P25_N14 N14 0.012,True,1,1
659,5479,,mnist,0.012,N5,MNIST_P27_N5,unsat,51.3275,1079.0,verinet,MNIST_P27_N5 N5 0.012,True,1,1
660,5483,,mnist,0.012,N48,MNIST_P88_N48,unsat,61.2687,1083.0,verinet,MNIST_P88_N48 N48 0.012,True,1,1
661,5488,,mnist,0.012,N49,MNIST_P44_N49,unsat,60.6509,1088.0,verinet,MNIST_P44_N49 N49 0.012,True,1,1
662,5521,,mnist,0.012,N15,MNIST_P13_N15,unsat,49.7746,1121.0,verinet,MNIST_P13_N15 N15 0.012,True,1,1
663,5572,,mnist,0.012,N14,MNIST_P53_N14,unsat,61.8499,1172.0,verinet,MNIST_P53_N14 N14 0.012,True,1,1
664,5525,,mnist,0.012,N14,MNIST_P31_N14,unsat,59.4317,1125.0,verinet,MNIST_P31_N14 N14 0.012,True,1,1
