,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
1,5524,,mnist,0.012,N33,MNIST_P48_N33,sat,14.6236,1124.0,verinet,MNIST_P48_N33 N33 0.012,True,1,1
2,5580,,mnist,0.012,N12,MNIST_P79_N12,unsat,60.5359,1180.0,verinet,MNIST_P79_N12 N12 0.012,True,1,1
3,5579,,mnist,0.012,N33,MNIST_P61_N33,unsat,59.5219,1179.0,verinet,MNIST_P61_N33 N33 0.012,True,1,1
4,5577,,mnist,0.012,N19,MNIST_P73_N19,unsat,52.0686,1177.0,verinet,MNIST_P73_N19 N19 0.012,True,1,1
5,5574,,mnist,0.012,N4,MNIST_P40_N4,unsat,50.8599,1174.0,verinet,MNIST_P40_N4 N4 0.012,True,1,1
6,5570,,mnist,0.012,N19,MNIST_P8_N19,sat,6.3979,1170.0,verinet,MNIST_P8_N19 N19 0.012,True,1,1
7,5566,,mnist,0.012,N19,MNIST_P10_N19,unsat,51.0643,1166.0,verinet,MNIST_P10_N19 N19 0.012,True,1,1
8,5561,,mnist,0.012,N19,MNIST_P6_N19,unsat,51.7041,1161.0,verinet,MNIST_P6_N19 N19 0.012,True,1,1
9,5560,,mnist,0.012,N22,MNIST_P8_N22,unsat,58.1372,1160.0,verinet,MNIST_P8_N22 N22 0.012,True,1,1
10,5552,,mnist,0.012,N21,MNIST_P23_N21,unsat,49.0637,1152.0,verinet,MNIST_P23_N21 N21 0.012,True,1,1
11,5547,,mnist,0.012,N33,MNIST_P38_N33,unsat,57.1578,1147.0,verinet,MNIST_P38_N33 N33 0.012,True,1,1
12,5536,,mnist,0.012,N33,MNIST_P47_N33,unsat,61.3057,1136.0,verinet,MNIST_P47_N33 N33 0.012,True,1,1
13,5522,,mnist,0.012,N33,MNIST_P26_N33,unsat,61.1848,1122.0,verinet,MNIST_P26_N33 N33 0.012,True,1,1
14,4964,,mnist,0.012,N4,MNIST_P69_N4,unsat,50.52,564.0,verinet,MNIST_P69_N4 N4 0.012,True,1,1
15,5517,,mnist,0.012,N22,MNIST_P11_N22,unsat,60.321,1117.0,verinet,MNIST_P11_N22 N22 0.012,True,1,1
16,5515,,mnist,0.012,N4,MNIST_P47_N4,unsat,50.1151,1115.0,verinet,MNIST_P47_N4 N4 0.012,True,1,1
17,5508,,mnist,0.012,N12,MNIST_P20_N12,unsat,58.1682,1108.0,verinet,MNIST_P20_N12 N12 0.012,True,1,1
18,5482,,mnist,0.012,N19,MNIST_P22_N19,unsat,51.928,1082.0,verinet,MNIST_P22_N19 N19 0.012,True,1,1
19,5469,,mnist,0.012,N4,MNIST_P51_N4,unsat,49.994,1069.0,verinet,MNIST_P51_N4 N4 0.012,True,1,1
20,5465,,mnist,0.012,N33,MNIST_P9_N33,unsat,58.545,1065.0,verinet,MNIST_P9_N33 N33 0.012,True,1,1
