,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
3,25111,,MNIST,0.012,60.0,mnist_9_200.onnx,unsat,0.25545334815979,960.0,60.0,bab,60.0 mnist_9_200.onnx 0.012,1,1,True
4,25110,,,0.012,60.0,mnist_9_200.onnx,unsat/sat,2.027166843414306,360.0,360.0,abcrown,60.0 mnist_9_200.onnx 0.012,1,1,True
17,25091,,MNIST,0.012,60.0,mnist_9_100.onnx,unsat,0.1621613502502441,959.0,60.0,bab,60.0 mnist_9_100.onnx 0.012,1,1,True
18,25090,,,0.012,60.0,mnist_9_100.onnx,unsat/sat,1.8705506324768064,260.0,260.0,abcrown,60.0 mnist_9_100.onnx 0.012,1,1,True
33,25171,,MNIST,0.012,60.0,mnist_net.onnx,unsat,0.1803333759307861,946.0,60.0,bab,60.0 mnist_net.onnx 0.012,1,1,True
35,25170,,,0.012,60.0,mnist_net.onnx,unsat,0.08,60.0,,eran,60.0 mnist_net.onnx 0.012,1,1,True
59,25028,,MNIST,0.012,60.0,mnist_5_100.onnx,unsat,0.1213438510894775,956.0,60.0,bab,60.0 mnist_5_100.onnx 0.012,1,1,True
66,25047,,,0.012,60.0,mnist_6_100.onnx,unsat/sat,1.325359344482422,60.0,60.0,abcrown,60.0 mnist_6_100.onnx 0.012,1,1,True
67,25048,,MNIST,0.012,60.0,mnist_6_100.onnx,unsat,0.1287679672241211,957.0,60.0,bab,60.0 mnist_6_100.onnx 0.012,1,1,True
76,25070,,,0.012,60.0,mnist_6_200.onnx,unsat/sat,1.3276751041412354,160.0,160.0,abcrown,60.0 mnist_6_200.onnx 0.012,1,1,True
77,25069,,MNIST,0.012,60.0,mnist_6_200.onnx,unsat,0.207315444946289,958.0,60.0,bab,60.0 mnist_6_200.onnx 0.012,1,1,True
91,25192,,MNIST,0.012,60.0,mnist_net_256x2.onnx,unsat,0.1587622165679931,948.0,60.0,bab,60.0 mnist_net_256x2.onnx 0.012,1,1,True
98,25276,,MNIST,0.012,60.0,rsl18a_linf01.onnx,unsat,0.1147646903991699,961.0,60.0,bab,60.0 rsl18a_linf01.onnx 0.012,1,1,True
99,25275,,,0.012,60.0,rsl18a_linf01.onnx,unsat,0.29,160.0,,eran,60.0 rsl18a_linf01.onnx 0.012,1,1,True
115,25408,,MNIST,0.012,61.0,mnist_3_50.onnx,unsat,0.0886213779449462,970.0,61.0,bab,61.0 mnist_3_50.onnx 0.012,1,1,True
122,25386,,MNIST,0.012,61.0,mnist_3_100.onnx,unsat,0.1028814315795898,969.0,61.0,bab,61.0 mnist_3_100.onnx 0.012,1,1,True
129,25325,,MNIST,0.012,61.0,fc2.onnx,sat,0.053382396697998,966.0,61.0,bab,61.0 fc2.onnx 0.012,1,1,True
130,25324,,,0.012,61.0,fc2.onnx,unsat,0.011,361.0,,eran,61.0 fc2.onnx 0.012,1,1,True
134,25255,,,0.012,60.0,mnist_nn.onnx,sat,3.947,860.0,,eran,60.0 mnist_nn.onnx 0.012,1,1,True
135,25254,,MNIST,0.012,60.0,mnist_nn.onnx,sat,1.129798412322998,952.0,60.0,bab,60.0 mnist_nn.onnx 0.012,1,1,True
140,25214,,,0.012,60.0,mnist_net_256x4.onnx,unsat,0.234,560.0,,eran,60.0 mnist_net_256x4.onnx 0.012,1,1,True
141,25213,,MNIST,0.012,60.0,mnist_net_256x4.onnx,unsat,0.2011787891387939,949.0,60.0,bab,60.0 mnist_net_256x4.onnx 0.012,1,1,True
154,25193,,,0.012,60.0,mnist_net_256x2.onnx,unsat,0.043,760.0,,eran,60.0 mnist_net_256x2.onnx 0.012,1,1,True
170,25234,,MNIST,0.012,60.0,mnist_net_256x6.onnx,unsat,0.2139606475830078,951.0,60.0,bab,60.0 mnist_net_256x6.onnx 0.012,1,1,True
171,25233,,,0.012,60.0,mnist_net_256x6.onnx,unsat,0.499,260.0,,eran,60.0 mnist_net_256x6.onnx 0.012,1,1,True
177,25007,,MNIST,0.012,60.0,mnist_4_1024.onnx,unsat,0.5232715606689453,955.0,60.0,bab,60.0 mnist_4_1024.onnx 0.012,1,1,True
180,24755,,,0.012,6.0,mnist_net_256x2.onnx,unsat,0.039,706.0,,eran,6.0 mnist_net_256x2.onnx 0.012,1,1,True
195,24653,,,0.012,6.0,mnist_9_100.onnx,unsat/sat,1.8209493160247805,206.0,206.0,abcrown,6.0 mnist_9_100.onnx 0.012,1,1,True
