,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
243,,,0.004,0.0,cifar_conv_maxpool.onnx,unsat,26.992,3700.0,,eran,0.0 cifar_conv_maxpool.onnx 0.004,1,1,True
57237,,,0.008,52.0,cifar_conv_maxpool.onnx,unsat,1371.873,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.008,1,1,True
58430,,,0.01,53.0,cifar_conv_maxpool.onnx,unsat,24.771,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.01,1,1,True
58427,,,0.008,53.0,cifar_conv_maxpool.onnx,unsat,24.386,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.008,1,1,True
58424,,,0.005,53.0,cifar_conv_maxpool.onnx,unsat,24.381,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.005,1,1,True
58420,,,0.004,53.0,cifar_conv_maxpool.onnx,unsat,24.718,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.004,1,1,True
57245,,,0.012,52.0,cifar_conv_maxpool.onnx,unsat,1710.11,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.012,1,1,True
57240,,,0.01,52.0,cifar_conv_maxpool.onnx,unsat,1600.352,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.01,1,1,True
57235,,,0.005,52.0,cifar_conv_maxpool.onnx,unsat,862.212,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.005,1,1,True
48928,,,0.008,46.0,cifar_conv_maxpool.onnx,unsat,1356.64,3746.0,,eran,46.0 cifar_conv_maxpool.onnx 0.008,1,1,True
57231,,,0.004,52.0,cifar_conv_maxpool.onnx,unsat,827.266,3752.0,,eran,52.0 cifar_conv_maxpool.onnx 0.004,1,1,True
56068,,,0.04,51.0,cifar_conv_maxpool.onnx,unsat,24.424,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.04,1,1,True
56065,,,0.03,51.0,cifar_conv_maxpool.onnx,unsat,24.201,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.03,1,1,True
56062,,,0.025,51.0,cifar_conv_maxpool.onnx,unsat,24.426,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.025,1,1,True
56060,,,0.02,51.0,cifar_conv_maxpool.onnx,unsat,24.326,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.02,1,1,True
56055,,,0.012,51.0,cifar_conv_maxpool.onnx,unsat,24.342,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.012,1,1,True
58431,,,0.012,53.0,cifar_conv_maxpool.onnx,unsat,24.473,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.012,1,1,True
58434,,,0.02,53.0,cifar_conv_maxpool.onnx,unsat,24.733,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.02,1,1,True
58437,,,0.025,53.0,cifar_conv_maxpool.onnx,unsat,24.317,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.025,1,1,True
58440,,,0.03,53.0,cifar_conv_maxpool.onnx,unsat,24.551,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.03,1,1,True
58443,,,0.04,53.0,cifar_conv_maxpool.onnx,unsat,24.556,3753.0,,eran,53.0 cifar_conv_maxpool.onnx 0.04,1,1,True
59610,,,0.005,54.0,cifar_conv_maxpool.onnx,unsat,842.939,3754.0,,eran,54.0 cifar_conv_maxpool.onnx 0.005,1,1,True
59613,,,0.008,54.0,cifar_conv_maxpool.onnx,unsat,1252.984,3754.0,,eran,54.0 cifar_conv_maxpool.onnx 0.008,1,1,True
59618,,,0.01,54.0,cifar_conv_maxpool.onnx,unsat,1599.811,3754.0,,eran,54.0 cifar_conv_maxpool.onnx 0.01,1,1,True
60797,,,0.004,55.0,cifar_conv_maxpool.onnx,unsat,26.95,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.004,1,1,True
60800,,,0.005,55.0,cifar_conv_maxpool.onnx,unsat,26.617,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.005,1,1,True
60801,,,0.008,55.0,cifar_conv_maxpool.onnx,unsat,26.669,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.008,1,1,True
60806,,,0.01,55.0,cifar_conv_maxpool.onnx,unsat,26.895,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.01,1,1,True
60808,,,0.012,55.0,cifar_conv_maxpool.onnx,unsat,26.526,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.012,1,1,True
60811,,,0.02,55.0,cifar_conv_maxpool.onnx,unsat,26.594,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.02,1,1,True
60813,,,0.025,55.0,cifar_conv_maxpool.onnx,unsat,26.575,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.025,1,1,True
60816,,,0.03,55.0,cifar_conv_maxpool.onnx,unsat,26.447,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.03,1,1,True
60821,,,0.04,55.0,cifar_conv_maxpool.onnx,unsat,26.664,3755.0,,eran,55.0 cifar_conv_maxpool.onnx 0.04,1,1,True
56054,,,0.01,51.0,cifar_conv_maxpool.onnx,unsat,24.557,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.01,1,1,True
56051,,,0.008,51.0,cifar_conv_maxpool.onnx,unsat,24.313,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.008,1,1,True
56047,,,0.005,51.0,cifar_conv_maxpool.onnx,unsat,24.486,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.005,1,1,True
52505,,,0.04,49.0,cifar_conv_maxpool.onnx,unsat,28.278,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.04,1,1,True
50107,,,0.005,47.0,cifar_conv_maxpool.onnx,unsat,641.357,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.005,1,1,True
50110,,,0.008,47.0,cifar_conv_maxpool.onnx,unsat,755.854,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.008,1,1,True
50112,,,0.01,47.0,cifar_conv_maxpool.onnx,unsat,1021.434,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.01,1,1,True
50118,,,0.02,47.0,cifar_conv_maxpool.onnx,unsat,1741.216,3747.0,,eran,47.0 cifar_conv_maxpool.onnx 0.02,1,1,True
51291,,,0.004,48.0,cifar_conv_maxpool.onnx,unsat,688.009,3748.0,,eran,48.0 cifar_conv_maxpool.onnx 0.004,1,1,True
51296,,,0.005,48.0,cifar_conv_maxpool.onnx,unsat,739.168,3748.0,,eran,48.0 cifar_conv_maxpool.onnx 0.005,1,1,True
52479,,,0.004,49.0,cifar_conv_maxpool.onnx,unsat,28.044,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.004,1,1,True
52484,,,0.005,49.0,cifar_conv_maxpool.onnx,unsat,28.027,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.005,1,1,True
52486,,,0.008,49.0,cifar_conv_maxpool.onnx,unsat,27.811,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.008,1,1,True
52488,,,0.01,49.0,cifar_conv_maxpool.onnx,unsat,28.17,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.01,1,1,True
52493,,,0.012,49.0,cifar_conv_maxpool.onnx,unsat,28.064,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.012,1,1,True
52494,,,0.02,49.0,cifar_conv_maxpool.onnx,unsat,27.967,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.02,1,1,True
52497,,,0.025,49.0,cifar_conv_maxpool.onnx,unsat,28.146,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.025,1,1,True
52502,,,0.03,49.0,cifar_conv_maxpool.onnx,unsat,28.188,3749.0,,eran,49.0 cifar_conv_maxpool.onnx 0.03,1,1,True
53668,,,0.004,5.0,cifar_conv_maxpool.onnx,unsat,22.871,3705.0,,eran,5.0 cifar_conv_maxpool.onnx 0.004,1,1,True
56043,,,0.004,51.0,cifar_conv_maxpool.onnx,unsat,24.275,3751.0,,eran,51.0 cifar_conv_maxpool.onnx 0.004,1,1,True
53670,,,0.005,5.0,cifar_conv_maxpool.onnx,unsat,22.83,3705.0,,eran,5.0 cifar_conv_maxpool.onnx 0.005,1,1,True
53674,,,0.008,5.0,cifar_conv_maxpool.onnx,unsat,22.527,3705.0,,eran,5.0 cifar_conv_maxpool.onnx 0.008,1,1,True
53676,,,0.01,5.0,cifar_conv_maxpool.onnx,unsat,22.602,3705.0,,eran,5.0 cifar_conv_maxpool.onnx 0.01,1,1,True
