,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
650,,,0.004,0.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.48,3500.0,,eran,0.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.004,1,1,True
79354,,,0.025,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.612,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.025,1,1,True
79379,,,0.02,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.672,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.02,1,1,True
79376,,,0.012,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.669,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
79373,,,0.01,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.666,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.01,1,1,True
79370,,,0.008,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.666,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.008,1,1,True
79365,,,0.005,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.661,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.005,1,1,True
79364,,,0.004,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.65,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.004,1,1,True
79361,,,0.04,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.601,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.04,1,1,True
79358,,,0.03,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.638,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.03,1,1,True
79352,,,0.02,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.614,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.02,1,1,True
78168,,,0.03,68.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.364,3368.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.03,1,1,True
79349,,,0.012,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.61,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
79344,,,0.01,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.606,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.01,1,1,True
79341,,,0.008,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.616,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.008,1,1,True
79339,,,0.005,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.613,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.005,1,1,True
79337,,,0.004,69.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.61,3369.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.004,1,1,True
79089,,,0.04,69.0,convMedGSIGMOID__Point.onnx,unsat,0.23,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.04,1,1,True
79088,,,0.03,69.0,convMedGSIGMOID__Point.onnx,unsat,0.238,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.03,1,1,True
