,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
729,,,0.004,0.0,convMedGTANH__PGDK_w_0.0078.onnx,unsat,33.948,1100.0,,eran,0.0 convMedGTANH__PGDK_w_0.0078.onnx 0.004,1,1,True
79434,,,0.025,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.278,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.025,1,1,True
79459,,,0.02,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.964,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.02,1,1,True
79457,,,0.012,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.973,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
79454,,,0.01,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.971,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.01,1,1,True
79449,,,0.008,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.952,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.008,1,1,True
79446,,,0.005,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.942,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.005,1,1,True
79445,,,0.004,69.0,ffnnTANH__PGDK_w_0.0313_6_500.onnx,unsat,3.945,2569.0,,eran,69.0 ffnnTANH__PGDK_w_0.0313_6_500.onnx 0.004,1,1,True
79442,,,0.04,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.341,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.04,1,1,True
79439,,,0.03,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.334,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.03,1,1,True
79432,,,0.02,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.308,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.02,1,1,True
78250,,,0.03,68.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.106,3668.0,,eran,68.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.03,1,1,True
79428,,,0.012,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.279,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
79426,,,0.01,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.319,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.01,1,1,True
79422,,,0.008,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.318,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.008,1,1,True
79421,,,0.005,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.301,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.005,1,1,True
79418,,,0.004,69.0,ffnnTANH__PGDK_w_0.0078_6_500.onnx,unsat,4.312,3669.0,,eran,69.0 ffnnTANH__PGDK_w_0.0078_6_500.onnx 0.004,1,1,True
79170,,,0.04,69.0,convMedGTANH__Point.onnx,unsat,35.47,169.0,,eran,69.0 convMedGTANH__Point.onnx 0.04,1,1,True
79168,,,0.03,69.0,convMedGTANH__Point.onnx,unsat,33.856,169.0,,eran,69.0 convMedGTANH__Point.onnx 0.03,1,1,True
