,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
231,,MNIST,0.004,0.0,mnist_net_256_4.onnx,unsat,0.1617836952209472,4.0,0.0,bab,0.0 mnist_net_256_4.onnx 0.004,1,1,True
30420,,MNIST,0.008,59.0,mnist_relu_9_100.onnx,unsat,0.1562621593475341,1000.0,59.0,bab,59.0 mnist_relu_9_100.onnx 0.008,1,1,True
30479,,MNIST,0.01,59.0,rsl18a_linf01.onnx,unsat,0.1347818374633789,980.0,59.0,bab,59.0 rsl18a_linf01.onnx 0.01,1,1,True
30477,,,0.01,59.0,rsl18a_linf01.onnx,unsat,0.228,159.0,,eran,59.0 rsl18a_linf01.onnx 0.01,1,1,True
30475,,,0.008,59.0,rsl18a_linf01.onnx,unsat,0.227,159.0,,eran,59.0 rsl18a_linf01.onnx 0.008,1,1,True
30474,,MNIST,0.008,59.0,rsl18a_linf01.onnx,unsat,0.1190264225006103,1002.0,59.0,bab,59.0 rsl18a_linf01.onnx 0.008,1,1,True
30473,,,0.005,59.0,rsl18a_linf01.onnx,unsat,0.227,159.0,,eran,59.0 rsl18a_linf01.onnx 0.005,1,1,True
30471,,MNIST,0.005,59.0,rsl18a_linf01.onnx,unsat,0.1150906085968017,1017.0,59.0,bab,59.0 rsl18a_linf01.onnx 0.005,1,1,True
30470,,,0.004,59.0,rsl18a_linf01.onnx,unsat,0.233,159.0,,eran,59.0 rsl18a_linf01.onnx 0.004,1,1,True
30469,,MNIST,0.004,59.0,rsl18a_linf01.onnx,unsat,0.1157176494598388,1019.0,59.0,bab,59.0 rsl18a_linf01.onnx 0.004,1,1,True
30438,,,0.04,59.0,mnist_relu_9_100.onnx,unsat/sat,3600.0,259.0,259.0,abcrown,59.0 mnist_relu_9_100.onnx 0.04,1,1,True
30435,,,0.03,59.0,mnist_relu_9_100.onnx,unsat/sat,3600.0,259.0,259.0,abcrown,59.0 mnist_relu_9_100.onnx 0.03,1,1,True
30432,,,0.025,59.0,mnist_relu_9_100.onnx,unsat/sat,3600.0,259.0,259.0,abcrown,59.0 mnist_relu_9_100.onnx 0.025,1,1,True
30428,,,0.012,59.0,mnist_relu_9_100.onnx,unsat/sat,1.8605005741119385,259.0,259.0,abcrown,59.0 mnist_relu_9_100.onnx 0.012,1,1,True
30426,,MNIST,0.012,59.0,mnist_relu_9_100.onnx,unsat,0.2003719806671142,943.0,59.0,bab,59.0 mnist_relu_9_100.onnx 0.012,1,1,True
30424,,MNIST,0.01,59.0,mnist_relu_9_100.onnx,unsat,0.1585123538970947,979.0,59.0,bab,59.0 mnist_relu_9_100.onnx 0.01,1,1,True
30423,,,0.01,59.0,mnist_relu_9_100.onnx,unsat/sat,1.8078584671020508,259.0,259.0,abcrown,59.0 mnist_relu_9_100.onnx 0.01,1,1,True
30480,,,0.012,59.0,rsl18a_linf01.onnx,unsat,0.229,159.0,,eran,59.0 rsl18a_linf01.onnx 0.012,1,1,True
30482,,MNIST,0.012,59.0,rsl18a_linf01.onnx,unsat,0.1175472736358642,944.0,59.0,bab,59.0 rsl18a_linf01.onnx 0.012,1,1,True
